group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Zero Area Checks,any_circle_zero_area,,,,1040100.0,ns,53
Zero Area Checks,any_circle_zero_area,,,,2280900.0,ns,106
Zero Area Checks,any_circle_zero_area,,,,3889300.0,ns,159
Zero Area Checks,any_circle_zero_area,,,,7364000.0,ns,212
Zero Area Checks,any_circle_zero_area,,,,6494200.0,ns,265
Zero Area Checks,any_circle_zero_area,,,,6280900.0,ns,318
Zero Area Checks,any_circle_zero_area,,,,8238300.0,ns,371
Zero Area Checks,any_circle_zero_area,,,,8270800.0,ns,424
Zero Area Checks,any_circle_zero_area,,,,10246700.0,ns,477
Zero Area Checks,any_circle_zero_area,,,,10220800.0,ns,530
Zero Area Checks,any_circle_zero_area,,,,11452100.0,ns,583
Zero Area Checks,any_circle_zero_area,,,,12117000.0,ns,636
Zero Area Checks,any_circle_zero_area,,,,13038400.0,ns,689
Zero Area Checks,any_circle_zero_area,,,,14149000.0,ns,742
Zero Area Checks,any_circle_zero_area,,,,15627700.0,ns,795
Zero Area Checks,any_circle_zero_area,,,,16104400.0,ns,848
Zero Area Checks,any_circle_zero_area,,,,16566700.0,ns,901
Zero Area Checks,any_circle_zero_area,,,,17883400.0,ns,954
Zero Area Checks,any_circle_zero_area,,,,18484400.0,ns,1007
Zero Area Checks,any_circle_zero_area,,,,19413100.0,ns,1060
Zero Area Checks,any_circle_zero_area,,,,20404000.0,ns,1113
Zero Area Checks,any_circle_zero_area,,,,22064800.0,ns,1166
Zero Area Checks,any_circle_zero_area,,,,22377900.0,ns,1219
Zero Area Checks,any_circle_zero_area,,,,24940300.0,ns,1272
Zero Area Checks,any_circle_zero_area,,,,24202500.0,ns,1325
Zero Area Checks,any_circle_zero_area,,,,25413500.0,ns,1378
Zero Area Checks,any_circle_zero_area,,,,25973600.0,ns,1431
Zero Area Checks,any_circle_zero_area,,,,27025300.0,ns,1484
Zero Area Checks,any_circle_zero_area,,,,28684100.0,ns,1537
Zero Area Checks,any_circle_zero_area,,,,29774800.0,ns,1590
Zero Area Checks,any_circle_zero_area,,,,30713600.0,ns,1643
Zero Area Checks,any_circle_zero_area,,,,31916800.0,ns,1696
Zero Area Checks,any_circle_zero_area,,,,32219500.0,ns,1749
Zero Area Checks,any_circle_zero_area,,,,33525400.0,ns,1802
Zero Area Checks,any_circle_zero_area,,,,34206700.0,ns,1855
Zero Area Checks,any_circle_zero_area,,,,35138100.0,ns,1908
Zero Area Checks,any_circle_zero_area,,,,36139500.0,ns,1961
Zero Area Checks,any_circle_zero_area,,,,37987500.0,ns,2014
Zero Area Checks,any_circle_zero_area,,,,39251500.0,ns,2067
Zero Area Checks,any_circle_zero_area,,,,41577900.0,ns,2120
Zero Area Checks,any_circle_zero_area,,,,42123900.0,ns,2173
Zero Area Checks,any_circle_zero_area,,,,43940500.0,ns,2226
Zero Area Checks,any_circle_zero_area,,,,49656700.0,ns,2279
Zero Area Checks,any_circle_zero_area,,,,50229700.0,ns,2332
Zero Area Checks,any_circle_zero_area,,,,46157000.0,ns,2385
Zero Area Checks,any_circle_zero_area,,,,46814200.0,ns,2438
Zero Area Checks,any_circle_zero_area,,,,46354600.0,ns,2491
Zero Area Checks,any_circle_zero_area,,,,46717200.0,ns,2544
Zero Area Checks,any_circle_zero_area,,,,57172400.0,ns,2597
Zero Area Checks,any_circle_zero_area,,,,50246600.0,ns,2650
Zero Area Checks,any_circle_zero_area,,,,50884200.0,ns,2703
Zero Area Checks,any_circle_zero_area,,,,51428800.0,ns,2756
Zero Area Checks,any_circle_zero_area,,,,52861200.0,ns,2809
Zero Area Checks,any_circle_zero_area,,,,53304500.0,ns,2862
Zero Area Checks,any_circle_zero_area,,,,54458200.0,ns,2915
Zero Area Checks,any_circle_zero_area,,,,54555600.0,ns,2968
Zero Area Checks,any_circle_zero_area,,,,56102800.0,ns,3021
Zero Area Checks,any_circle_zero_area,,,,57974600.0,ns,3074
Zero Area Checks,any_circle_zero_area,,,,60038500.0,ns,3127
Zero Area Checks,any_circle_zero_area,,,,59975200.0,ns,3180
Zero Area Checks,any_circle_zero_area,,,,60555200.0,ns,3233
Zero Area Checks,any_circle_zero_area,,,,62264100.0,ns,3286
Zero Area Checks,any_circle_zero_area,,,,70409500.0,ns,3339
Zero Area Checks,any_circle_zero_area,,,,71478800.0,ns,3392
Zero Area Checks,any_circle_zero_area,,,,71276300.0,ns,3445
Zero Area Checks,any_circle_zero_area,,,,70286700.0,ns,3498
Zero Area Checks,any_circle_zero_area,,,,66405700.0,ns,3551
Zero Area Checks,any_circle_zero_area,,,,67889000.0,ns,3604
Zero Area Checks,any_circle_zero_area,,,,68130200.0,ns,3657
Zero Area Checks,any_circle_zero_area,,,,68619800.0,ns,3710
Zero Area Checks,any_circle_zero_area,,,,71528200.0,ns,3763
Zero Area Checks,any_circle_zero_area,,,,70694200.0,ns,3816
Zero Area Checks,any_circle_zero_area,,,,73203600.0,ns,3869
Zero Area Checks,any_circle_zero_area,,,,73247100.0,ns,3922
Zero Area Checks,any_circle_zero_area,,,,74539300.0,ns,3975
