group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Zero Area Checks,any_rectangle_zero_area,,,,1073700.0,ns,49
Zero Area Checks,any_rectangle_zero_area,,,,2654800.0,ns,98
Zero Area Checks,any_rectangle_zero_area,,,,3389600.0,ns,147
Zero Area Checks,any_rectangle_zero_area,,,,4601900.0,ns,196
Zero Area Checks,any_rectangle_zero_area,,,,8218900.0,ns,245
Zero Area Checks,any_rectangle_zero_area,,,,6298300.0,ns,294
Zero Area Checks,any_rectangle_zero_area,,,,7327000.0,ns,343
Zero Area Checks,any_rectangle_zero_area,,,,8881100.0,ns,392
Zero Area Checks,any_rectangle_zero_area,,,,9680300.0,ns,441
Zero Area Checks,any_rectangle_zero_area,,,,10176800.0,ns,490
Zero Area Checks,any_rectangle_zero_area,,,,11949800.0,ns,539
Zero Area Checks,any_rectangle_zero_area,,,,12652300.0,ns,588
Zero Area Checks,any_rectangle_zero_area,,,,13850300.0,ns,637
Zero Area Checks,any_rectangle_zero_area,,,,14019100.0,ns,686
Zero Area Checks,any_rectangle_zero_area,,,,15239500.0,ns,735
Zero Area Checks,any_rectangle_zero_area,,,,16558700.0,ns,784
Zero Area Checks,any_rectangle_zero_area,,,,17056000.0,ns,833
Zero Area Checks,any_rectangle_zero_area,,,,18377000.0,ns,882
Zero Area Checks,any_rectangle_zero_area,,,,18493800.0,ns,931
Zero Area Checks,any_rectangle_zero_area,,,,20651700.0,ns,980
Zero Area Checks,any_rectangle_zero_area,,,,22042800.0,ns,1029
Zero Area Checks,any_rectangle_zero_area,,,,21817100.0,ns,1078
Zero Area Checks,any_rectangle_zero_area,,,,22752400.0,ns,1127
Zero Area Checks,any_rectangle_zero_area,,,,23481700.0,ns,1176
Zero Area Checks,any_rectangle_zero_area,,,,24687300.0,ns,1225
Zero Area Checks,any_rectangle_zero_area,,,,27649400.0,ns,1274
Zero Area Checks,any_rectangle_zero_area,,,,27115200.0,ns,1323
Zero Area Checks,any_rectangle_zero_area,,,,28118600.0,ns,1372
Zero Area Checks,any_rectangle_zero_area,,,,28390100.0,ns,1421
Zero Area Checks,any_rectangle_zero_area,,,,29722000.0,ns,1470
Zero Area Checks,any_rectangle_zero_area,,,,30545200.0,ns,1519
Zero Area Checks,any_rectangle_zero_area,,,,31882900.0,ns,1568
Zero Area Checks,any_rectangle_zero_area,,,,33111700.0,ns,1617
Zero Area Checks,any_rectangle_zero_area,,,,34209800.0,ns,1666
Zero Area Checks,any_rectangle_zero_area,,,,34681000.0,ns,1715
Zero Area Checks,any_rectangle_zero_area,,,,35862700.0,ns,1764
Zero Area Checks,any_rectangle_zero_area,,,,37018400.0,ns,1813
Zero Area Checks,any_rectangle_zero_area,,,,38230400.0,ns,1862
Zero Area Checks,any_rectangle_zero_area,,,,39281000.0,ns,1911
Zero Area Checks,any_rectangle_zero_area,,,,40272800.0,ns,1960
Zero Area Checks,any_rectangle_zero_area,,,,40672600.0,ns,2009
Zero Area Checks,any_rectangle_zero_area,,,,41768100.0,ns,2058
Zero Area Checks,any_rectangle_zero_area,,,,43950700.0,ns,2107
Zero Area Checks,any_rectangle_zero_area,,,,45131800.0,ns,2156
Zero Area Checks,any_rectangle_zero_area,,,,44144300.0,ns,2205
Zero Area Checks,any_rectangle_zero_area,,,,46696000.0,ns,2254
Zero Area Checks,any_rectangle_zero_area,,,,52890400.0,ns,2303
Zero Area Checks,any_rectangle_zero_area,,,,49584900.0,ns,2352
