group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Zero Area Checks,any_shape_zero_area,,,,1126700.0,ns,33
Zero Area Checks,any_shape_zero_area,,,,2049700.0,ns,66
Zero Area Checks,any_shape_zero_area,,,,3287600.0,ns,99
Zero Area Checks,any_shape_zero_area,,,,4844300.0,ns,132
Zero Area Checks,any_shape_zero_area,,,,6909300.0,ns,165
Zero Area Checks,any_shape_zero_area,,,,7481700.0,ns,198
Zero Area Checks,any_shape_zero_area,,,,8088500.0,ns,231
Zero Area Checks,any_shape_zero_area,,,,8677000.0,ns,264
Zero Area Checks,any_shape_zero_area,,,,9546800.0,ns,297
Zero Area Checks,any_shape_zero_area,,,,10714700.0,ns,330
Zero Area Checks,any_shape_zero_area,,,,11496900.0,ns,363
Zero Area Checks,any_shape_zero_area,,,,13805100.0,ns,396
Zero Area Checks,any_shape_zero_area,,,,14159500.0,ns,429
Zero Area Checks,any_shape_zero_area,,,,15389900.0,ns,462
Zero Area Checks,any_shape_zero_area,,,,15947000.0,ns,495
Zero Area Checks,any_shape_zero_area,,,,17308500.0,ns,528
Zero Area Checks,any_shape_zero_area,,,,18110100.0,ns,561
Zero Area Checks,any_shape_zero_area,,,,18979600.0,ns,594
Zero Area Checks,any_shape_zero_area,,,,19740700.0,ns,627
Zero Area Checks,any_shape_zero_area,,,,21125300.0,ns,660
Zero Area Checks,any_shape_zero_area,,,,22010500.0,ns,693
Zero Area Checks,any_shape_zero_area,,,,22545900.0,ns,726
Zero Area Checks,any_shape_zero_area,,,,23276000.0,ns,759
Zero Area Checks,any_shape_zero_area,,,,25602400.0,ns,792
Zero Area Checks,any_shape_zero_area,,,,25636600.0,ns,825
Zero Area Checks,any_shape_zero_area,,,,29026100.0,ns,858
Zero Area Checks,any_shape_zero_area,,,,27786100.0,ns,891
Zero Area Checks,any_shape_zero_area,,,,28573400.0,ns,924
Zero Area Checks,any_shape_zero_area,,,,30391600.0,ns,957
Zero Area Checks,any_shape_zero_area,,,,31249500.0,ns,990
Zero Area Checks,any_shape_zero_area,,,,31956700.0,ns,1023
Zero Area Checks,any_shape_zero_area,,,,33052400.0,ns,1056
Zero Area Checks,any_shape_zero_area,,,,35725800.0,ns,1089
Zero Area Checks,any_shape_zero_area,,,,35147400.0,ns,1122
Zero Area Checks,any_shape_zero_area,,,,36229700.0,ns,1155
Zero Area Checks,any_shape_zero_area,,,,38463200.0,ns,1188
Zero Area Checks,any_shape_zero_area,,,,38317200.0,ns,1221
Zero Area Checks,any_shape_zero_area,,,,39360600.0,ns,1254
Zero Area Checks,any_shape_zero_area,,,,41641500.0,ns,1287
Zero Area Checks,any_shape_zero_area,,,,43792400.0,ns,1320
Zero Area Checks,any_shape_zero_area,,,,42284900.0,ns,1353
Zero Area Checks,any_shape_zero_area,,,,45360200.0,ns,1386
Zero Area Checks,any_shape_zero_area,,,,44071400.0,ns,1419
Zero Area Checks,any_shape_zero_area,,,,45563800.0,ns,1452
Zero Area Checks,any_shape_zero_area,,,,46624200.0,ns,1485
Zero Area Checks,any_shape_zero_area,,,,48187800.0,ns,1518
Zero Area Checks,any_shape_zero_area,,,,50499500.0,ns,1551
Zero Area Checks,any_shape_zero_area,,,,49149400.0,ns,1584
Zero Area Checks,any_shape_zero_area,,,,49931500.0,ns,1617
Zero Area Checks,any_shape_zero_area,,,,52468900.0,ns,1650
Zero Area Checks,any_shape_zero_area,,,,51771800.0,ns,1683
Zero Area Checks,any_shape_zero_area,,,,54375200.0,ns,1716
Zero Area Checks,any_shape_zero_area,,,,56064000.0,ns,1749
Zero Area Checks,any_shape_zero_area,,,,56005400.0,ns,1782
Zero Area Checks,any_shape_zero_area,,,,56764000.0,ns,1815
Zero Area Checks,any_shape_zero_area,,,,57720300.0,ns,1848
Zero Area Checks,any_shape_zero_area,,,,58715000.0,ns,1881
Zero Area Checks,any_shape_zero_area,,,,58888100.0,ns,1914
Zero Area Checks,any_shape_zero_area,,,,61066300.0,ns,1947
Zero Area Checks,any_shape_zero_area,,,,61708800.0,ns,1980
Zero Area Checks,any_shape_zero_area,,,,64398900.0,ns,2013
Zero Area Checks,any_shape_zero_area,,,,67527100.0,ns,2046
Zero Area Checks,any_shape_zero_area,,,,66287700.0,ns,2079
Zero Area Checks,any_shape_zero_area,,,,70685100.0,ns,2112
Zero Area Checks,any_shape_zero_area,,,,68694800.0,ns,2145
Zero Area Checks,any_shape_zero_area,,,,70230200.0,ns,2178
Zero Area Checks,any_shape_zero_area,,,,70287700.0,ns,2211
Zero Area Checks,any_shape_zero_area,,,,70998800.0,ns,2244
Zero Area Checks,any_shape_zero_area,,,,73293000.0,ns,2277
Zero Area Checks,any_shape_zero_area,,,,71999000.0,ns,2310
Zero Area Checks,any_shape_zero_area,,,,74868400.0,ns,2343
Zero Area Checks,any_shape_zero_area,,,,76361700.0,ns,2376
Zero Area Checks,any_shape_zero_area,,,,77712900.0,ns,2409
Zero Area Checks,any_shape_zero_area,,,,76687200.0,ns,2442
Zero Area Checks,any_shape_zero_area,,,,78233600.0,ns,2475
Zero Area Checks,any_shape_zero_area,,,,78476500.0,ns,2508
Zero Area Checks,any_shape_zero_area,,,,82398000.0,ns,2541
Zero Area Checks,any_shape_zero_area,,,,80388000.0,ns,2574
Zero Area Checks,any_shape_zero_area,,,,81950400.0,ns,2607
Zero Area Checks,any_shape_zero_area,,,,82986200.0,ns,2640
Zero Area Checks,any_shape_zero_area,,,,84529300.0,ns,2673
Zero Area Checks,any_shape_zero_area,,,,87927900.0,ns,2706
Zero Area Checks,any_shape_zero_area,,,,86853900.0,ns,2739
Zero Area Checks,any_shape_zero_area,,,,86290700.0,ns,2772
Zero Area Checks,any_shape_zero_area,,,,89465300.0,ns,2805
Zero Area Checks,any_shape_zero_area,,,,89303700.0,ns,2838
Zero Area Checks,any_shape_zero_area,,,,89287000.0,ns,2871
Zero Area Checks,any_shape_zero_area,,,,92199100.0,ns,2904
Zero Area Checks,any_shape_zero_area,,,,93071500.0,ns,2937
Zero Area Checks,any_shape_zero_area,,,,93513600.0,ns,2970
Zero Area Checks,any_shape_zero_area,,,,96786600.0,ns,3003
Zero Area Checks,any_shape_zero_area,,,,93087000.0,ns,3036
Zero Area Checks,any_shape_zero_area,,,,94946100.0,ns,3069
Zero Area Checks,any_shape_zero_area,,,,94093500.0,ns,3102
Zero Area Checks,any_shape_zero_area,,,,95512200.0,ns,3135
Zero Area Checks,any_shape_zero_area,,,,97497000.0,ns,3168
Zero Area Checks,any_shape_zero_area,,,,99356100.0,ns,3201
Zero Area Checks,any_shape_zero_area,,,,98980400.0,ns,3234
Zero Area Checks,any_shape_zero_area,,,,100162400.0,ns,3267
Zero Area Checks,any_shape_zero_area,,,,100754000.0,ns,3300
